Category,Message
ham,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad"
ham,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx
ham,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
ham,U know we watchin at lido?
ham,I think steyn surely get one wicket:)
ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th
ham,Yo you around? A friend of mine's lookin to pick up later tonight
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
ham,Thank you. do you generally date the brothas?
ham,Are you still playing with gautham?
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
ham,Networking technical support associate.
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
ham,Merry christmas to u too annie!
ham,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.
ham,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.
ham,Is ur paper in e morn or aft tmr?
ham,You are a big chic. Common. Declare
ham,I not free today i haf 2 pick my parents up tonite...
ham,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs
ham,Dear where you. Call me
ham,I'm in class. Will holla later
ham,"Princess, is your kitty shaved or natural?"
ham,Guess he wants alone time. We could just show up and watch when they do..
ham,"K, if u bored up just come to my home.."
ham,I emailed yifeng my part oredi.. Can ü get it fr him..
ham,Okie but i scared u say i fat... Then u dun wan me already...
ham,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke
ham,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know."
ham,I think just yourself …Thanks and see you tomo
ham,At what time are you coming.
ham,Ok. Very good. Its all about making that money.
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park."
ham,K..k..any special today?
ham,I dont know ask to my brother. Nothing problem some thing that. Just i told .
ham,Ok... Ur typical reply...
ham,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt;"
ham,Lol great now im getting hungry.
ham,ALRITE
spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
ham,You always make things bigger than they are
ham,Studying. But i.ll be free next weekend.
ham,Mm that time you dont like fun
spam,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
ham,Yeah jay's sort of a fucking retard
ham,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?
ham,Okay but i thought you were the expert
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,U repeat e instructions again. Wat's e road name of ur house?
ham,When i have stuff to sell i.ll tell you
ham,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
ham,In da car park
ham,Ard 530 lor. I ok then message ü lor.
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
ham,Well its not like you actually called someone a punto. That woulda been worse.
ham,"Sorry battery died, yeah I'm here"
ham,"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)"
ham,gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number.
ham,"Yeah, where's your class at?"
ham,Si si. I think ill go make those oreo truffles.
ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins"
spam,You have 1 new message. Call 0207-083-6089
ham,Hey gals.. Anyone of u going down to e driving centre tmr?
ham,"Haha, my friend tyler literally just asked if you could get him a dubsack"
ham,No dear i do have free messages without any recharge. Hi hi hi
ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
ham,if you text on your way to cup stop that should work. And that should be BUS
ham,He telling not to tell any one. If so treat for me hi hi hi
ham,Good evening! this is roger. How are you?
ham,What happen dear tell me
ham,"How long has it been since you screamed, princess?"
ham,"[…] anyway, many good evenings to u! s"
ham,Mine here like all fr china then so noisy.
ham,Just glad to be talking to you.
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
spam,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468"
ham,Men like shorter ladies. Gaze up into his eyes.
spam,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply"
ham,Hey what happen de. Are you alright.
ham,In which place do you want da.
ham,Rofl betta invest in some  anti aging products
ham,Well obviously not because all the people in my cool college life went home ;_;
spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
ham,Wish u many many returns of the day.. Happy birthday vikky..
ham,What happened in interview?
ham,When are you guys leaving?
ham,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.
ham,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Im knackered and im dreading work tonight. What are thou upto tonight. X
ham,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
ham,So when you gonna get rimac access
ham,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...
spam,Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
ham,Ok lor ü reaching then message me.
ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
spam,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
ham,"Babe, I need your advice"
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,Take some small dose tablet for fever
ham,"I've got ten bucks, jay is being noncomittal"
ham,"K give me a sec, breaking a  &lt;#&gt;  at cstore"
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906
ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
ham,Well. You know what i mean. Texting
ham,How. Its a little difficult but its a simple way to enter this place
ham,how are you? I miss you!
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?
ham,Its a great day. Do have yourself a beautiful one.
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
ham,"No, its true..k,Do u knw dis no. &lt;#&gt; ?"
ham,I know complain num only..bettr directly go to bsnl offc nd apply for it..
ham,Ü log off 4 wat. It's sdryb8i
ham,Cool. So how come you havent been wined and dined before?
ham,Ya it came a while ago
ham,S..antha num corrct dane
ham,Anything lar...
ham,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please....
ham,Thanx but my birthday is over already.
ham,Hi happy birthday. Hi hi hi hi hi hi hi
ham,No i am not having not any movies in my laptop
ham,Where at were hungry too
ham,Then dun wear jeans lor...
ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
ham,Ü v ma fan...
ham,Probably a couple hours tops
ham,Dear i have reache room
ham,K..k...from tomorrow onwards started ah?
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
ham,"Cool, text me when you're ready"
ham,How's ur paper?
ham,Hey! do u fancy meetin me at 4 at cha  hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x
ham,"Yo, you at jp and hungry like a mofo?"
ham,So how many days since then?
ham,Went fast asleep dear.take care.
ham,Have you finished work yet? :)
spam,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs)
ham,S s..first time..dhoni rocks...
ham,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:
ham,There are no other charges after transfer charges and you can withdraw anyhow you like
ham,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?"
ham,yes baby! I need to stretch open your pussy!
ham,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.
ham,S:)s.nervous  &lt;#&gt; :)
ham,Ok i am on the way to home hi hi
ham,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it."
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
ham,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.
ham,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie
ham,I to am looking forward to all the sex cuddling.. Only two more sleeps
ham,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.
ham,ok....take care.umma to you too...
ham,"Thank you. And by the way, I just lost."
ham,"Alright omw, gotta change my order to a half8th"
ham,No need to say anything to me. I know i am an outsider
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,Yar lor actually we quite fast... Cos da ge slow wat... Haha...
ham,Oh yeah I forgot. U can only take 2 out shopping at once.
ham,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/
ham,Oh k :)why you got job then whats up?
ham,We are both fine. Thanks
ham,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
ham,Fuck babe ... What happened to you ? How come you never came back?
ham,"I can't, I don't have her number!"
ham,Would really appreciate if you call me. Just need someone to talk to.
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
ham,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you
ham,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?
ham,Ladies first and genus second k .
ham,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
ham,Send me your id and password
ham,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
ham,I donno if they are scorable
ham,Done it but internet connection v slow and can‘t send it. Will try again later or first thing tomo.
ham,Nope... C ü then...
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records."
ham,thanks for the temales it was wonderful. Thank. Have a great week.
ham,Not from this campus. Are you in the library?
spam,"Latest Nokia Mobile or iPOD MP3 Player +£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.£1,50/Mtmsgrcvd18+"
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
ham,Thanx 4 sending me home...
ham,Ok which your another number
ham,Sleeping nt feeling well
ham,Hmm ill have to think about it... ok you're forgiven! =D
ham,"Dear, take care. I am just reaching home.love u a lot."
ham,Yes. Rent is very expensive so its the way we save.
ham,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?"
ham,You dont know you jabo me abi.
ham,No b4 Thursday
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
